standardcode,partnumber,customercode,customername,targetdate,status,2023-customer-sales,2024-customer-sales,number-of-customer-target,number-of-part-number-target,sales-after-target,total-sales-after-first-target
CTY12072KTD,CTY12072,KTD,KTD,,Target Accepted,1,4,1,2,4,
CBP02021KTD,CBP02021,KTD,KTD,,Target Accepted,2,1,1,1,1,
ADC1925VKTD,ADC1925V,KTD,KTD,,Best Offered,0,4,1,1,4,
ADB02143ATI,ADB02143,ATI,ATI,,Target Accepted,180,468,2,3,288,
ADB22214ATI,ADB22214,ATI,ATI,,Target Accepted,216,638,3,4,398,
ECK020FNUIC,ECK020F,NUIC,NUIC,,Best Offered,490,310,1,6,200,
ECK228FNUIC,ECK228F,NUIC,NUIC,,Best Offered,130,178,1,7,98,
EAF489A Psaltis + Sotiris,EAF489,A Psaltis + Sotiris,A Psaltis + Sotiris,,Target Accepted,28,20,1,1,20,
ADC01140VA Psaltis + Sotiris,ADC01140V,A Psaltis + Sotiris,A Psaltis + Sotiris,,Target Accepted,2,14,1,2,14,
EAF560A Psaltis + Sotiris,EAF560,A Psaltis + Sotiris,A Psaltis + Sotiris,,Target Accepted,139,121,1,1,103,
EAF1037A Psaltis + Sotiris,EAF1037,A Psaltis + Sotiris,A Psaltis + Sotiris,,Target Accepted,0,30,1,1,30,
CHY12255A Psaltis + Sotiris,CHY12255,A Psaltis + Sotiris,A Psaltis + Sotiris,,Target Accepted,20,30,1,1,30,
CTY12090A Psaltis + Sotiris,CTY12090,A Psaltis + Sotiris,A Psaltis + Sotiris,,Best Offered,15,50,1,4,50,
ADC0473VA Psaltis + Sotiris,ADC0473V,A Psaltis + Sotiris,A Psaltis + Sotiris,,Best Offered,36,36,1,2,32,
CBK004GAZELA,CBK004,GAZELA,GAZELA,,Best Offered,0,21,1,1,21,
CBK005GAZELA,CBK005,GAZELA,GAZELA,,Target Accepted,0,8,1,1,8,
CBK008GAZELA,CBK008,GAZELA,GAZELA,,Target Accepted,0,6,1,1,6,
CBK009GAZELA,CBK009,GAZELA,GAZELA,,Best Offered,0,11,1,1,11,
CBK010GAZELA,CBK010,GAZELA,GAZELA,,Target Accepted,7,42,1,1,28,
CBK011GAZELA,CBK011,GAZELA,GAZELA,,Target Accepted,0,7,1,1,7,
CBK012GAZELA,CBK012,GAZELA,GAZELA,,Target Accepted,0,10,1,1,10,
CBK016GAZELA,CBK016,GAZELA,GAZELA,,Target Accepted,0,6,1,1,6,
CBK017GAZELA,CBK017,GAZELA,GAZELA,,Target Accepted,3,29,1,1,24,
CBK018GAZELA,CBK018,GAZELA,GAZELA,,Target Accepted,0,6,1,1,6,
CBK020GAZELA,CBK020,GAZELA,GAZELA,,Best Offered,0,14,1,1,14,
CBK021GAZELA,CBK021,GAZELA,GAZELA,,Target Accepted,0,7,1,1,7,
CBK023GAZELA,CBK023,GAZELA,GAZELA,,Best Offered,0,0,1,1,0,
CBK024GAZELA,CBK024,GAZELA,GAZELA,,Best Offered,9,23,1,1,23,
CBK027GAZELA,CBK027,GAZELA,GAZELA,,Best Offered,0,14,1,1,14,
CBK030GAZELA,CBK030,GAZELA,GAZELA,,Target Accepted,0,5,1,1,5,
CBK035GAZELA,CBK035,GAZELA,GAZELA,,Best Offered,4,10,1,1,9,
CBK036GAZELA,CBK036,GAZELA,GAZELA,,Target Accepted,0,14,1,1,14,
CBK044GAZELA,CBK044,GAZELA,GAZELA,,Target Accepted,0,7,1,1,7,
CBK045GAZELA,CBK045,GAZELA,GAZELA,,Best Offered,0,8,1,1,8,
CBK047GAZELA,CBK047,GAZELA,GAZELA,,Target Accepted,0,13,1,1,13,
CBK051GAZELA,CBK051,GAZELA,GAZELA,,Target Accepted,0,4,1,1,4,
CBK058GAZELA,CBK058,GAZELA,GAZELA,,Best Offered,0,2,1,1,2,
CBK061GAZELA,CBK061,GAZELA,GAZELA,,Target Accepted,0,5,1,1,5,
CBK064GAZELA,CBK064,GAZELA,GAZELA,,Target Accepted,0,2,1,1,2,
CBK067GAZELA,CBK067,GAZELA,GAZELA,,Target Accepted,0,3,1,1,3,
CBK072GAZELA,CBK072,GAZELA,GAZELA,,Best Offered,0,13,1,1,13,
CBK075GAZELA,CBK075,GAZELA,GAZELA,,Best Offered,0,2,1,1,2,
CBK079GAZELA,CBK079,GAZELA,GAZELA,,Target Accepted,0,5,1,1,5,
CBK083GAZELA,CBK083,GAZELA,GAZELA,,Target Accepted,0,5,1,1,5,
CBK099GAZELA,CBK099,GAZELA,GAZELA,,Target Accepted,0,2,1,1,2,
